utilization_type,state,ndc,labeler_code,product_code,package_size,year,quarter,suppression_used,product_name,units_reimbursed,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed
FFSU,FL,00777310402,00777,3104,02,2013,4,true,"PROZAC    ",,,,,
FFSU,FL,00777310502,00777,3105,02,2013,4,true,"PROZAC    ",,,,,
MCOU,FL,00777310502,00777,3105,02,2013,4,true,"PROZAC    ",,,,,
MCOU,FL,00777310530,00777,3105,30,2013,4,true,"PROZAC    ",,,,,
MCOU,FL,00777310730,00777,3107,30,2013,4,true,"PROZAC    ",,,,,
FFSU,FL,00777310402,00777,3104,02,2013,3,true,"PROZAC    ",,,,,
FFSU,FL,00777310502,00777,3105,02,2013,3,true,"PROZAC    ",,,,,
MCOU,FL,00777310530,00777,3105,30,2013,3,true,"PROZAC    ",,,,,
MCOU,FL,00777310730,00777,3107,30,2013,3,true,"PROZAC    ",,,,,
FFSU,FL,00777310402,00777,3104,02,2013,2,true,"PROZAC    ",,,,,
FFSU,FL,00777310502,00777,3105,02,2013,2,true,"PROZAC    ",,,,,
MCOU,FL,00777310730,00777,3107,30,2013,2,true,"PROZAC    ",,,,,
FFSU,FL,00777310402,00777,3104,02,2013,1,true,"PROZAC    ",,,,,
MCOU,FL,00777310502,00777,3105,02,2013,1,true,"PROZAC    ",,,,,
FFSU,FL,00777310502,00777,3105,02,2013,1,true,"PROZAC    ",,,,,
FFSU,FL,00777310730,00777,3107,30,2013,1,true,"PROZAC    ",,,,,
MCOU,FL,00777310730,00777,3107,30,2013,1,true,"PROZAC    ",,,,,
MCOU,GA,00777310530,00777,3105,30,2013,4,true,"PROZAC    ",,,,,
MCOU,GA,00777310530,00777,3105,30,2013,3,true,"PROZAC    ",,,,,
FFSU,IA,00777310502,00777,3105,02,2013,4,true,"PROZAC    ",,,,,
FFSU,IA,00777310730,00777,3107,30,2013,4,true,"PROZAC    ",,,,,
FFSU,IA,00777310502,00777,3105,02,2013,3,true,"PROZAC    ",,,,,
FFSU,IA,00777310530,00777,3105,30,2013,3,true,"PROZAC    ",,,,,
FFSU,IA,00777310730,00777,3107,30,2013,3,true,"PROZAC    ",,,,,
FFSU,IA,00777310502,00777,3105,02,2013,2,true,"PROZAC    ",,,,,
